# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
6.905700000000000000e+04,1.066998386383056641e+01,1.059983921051025391e+01,1.409479856491088867e+00,1.067339442670345306e-02,3.091871738433837891e-02,7.871723651885986328e+00,3.609407043457031250e+01
6.905800000000000000e+04,1.088053607940673828e+01,1.058659362792968750e+01,6.454994201660156250e+00,1.671108752489089966e-01,2.837615460157394409e-02,7.349020957946777344e+00,2.153307151794433594e+01
6.905900000000000000e+04,1.071344470977783203e+01,1.061265373229980469e+01,2.042244970798492432e-01,0.000000000000000000e+00,1.811654120683670044e-02,2.721014261245727539e+00,4.014915847778320312e+01
6.906100000000000000e+04,1.059745121002197266e+01,1.031166076660156250e+01,1.434973478317260742e+00,5.367518663406372070e-01,2.738093957304954529e-02,9.443539619445800781e+00,1.775576782226562500e+01
6.906500000000000000e+04,9.974463462829589844e+00,1.013169193267822266e+01,2.337417602539062500e+00,6.530101299285888672e-01,1.336078345775604248e-02,6.625599384307861328e+00,1.299341869354248047e+01
6.906600000000000000e+04,9.340279579162597656e+00,1.016842555999755859e+01,3.921594321727752686e-01,3.085604310035705566e-01,1.126851234585046768e-02,3.920140027999877930e+00,4.222734451293945312e+01
6.906700000000000000e+04,1.035233688354492188e+01,9.643752098083496094e+00,1.121225953102111816e+00,6.364622116088867188e-01,1.846997812390327454e-02,3.114808797836303711e+00,9.060982704162597656e+00
6.906800000000000000e+04,1.008306312561035156e+01,9.445984840393066406e+00,9.195282310247421265e-02,9.191731363534927368e-02,3.802453726530075073e-02,2.757852792739868164e+00,1.403108215332031250e+01
6.907000000000000000e+04,9.730077743530273438e+00,9.777448654174804688e+00,6.118462085723876953e-01,2.768295705318450928e-01,2.088830247521400452e-02,4.583752155303955078e+00,1.435089206695556641e+01
6.907100000000000000e+04,1.024419021606445312e+01,7.156691074371337891e+00,6.786312442272901535e-03,6.786312442272901535e-03,5.578801408410072327e-02,3.143437147140502930e+00,4.399337470531463623e-01
6.907200000000000000e+04,1.003511905670166016e+01,8.549209594726562500e+00,5.150296911597251892e-02,5.150296911597251892e-02,3.597278892993927002e-02,5.876332283020019531e+00,6.630424976348876953e+00
6.907500000000000000e+04,9.734269142150878906e+00,9.873545646667480469e+00,5.038149952888488770e-01,2.974716424942016602e-01,2.033282071352005005e-02,2.902086496353149414e+00,3.278231811523437500e+01
6.907600000000000000e+04,9.799078941345214844e+00,9.298653602600097656e+00,1.319598108530044556e-01,1.208472549915313721e-01,3.018291108310222626e-02,3.088773250579833984e+00,1.941720962524414062e+01
6.907700000000000000e+04,9.522352218627929688e+00,9.758956909179687500e+00,2.424646466970443726e-01,1.501131802797317505e-01,1.325011905282735825e-02,4.520859241485595703e+00,1.342282581329345703e+01
6.907800000000000000e+04,9.965017318725585938e+00,8.960280418395996094e+00,1.953536868095397949e-01,1.952713429927825928e-01,3.729562088847160339e-02,5.526068210601806641e+00,3.991991758346557617e+00
6.907900000000000000e+04,9.771244049072265625e+00,8.867519378662109375e+00,9.286972880363464355e-02,9.003800898790359497e-02,2.916525863111019135e-02,1.627507925033569336e+00,5.056367397308349609e+00
6.908000000000000000e+04,9.182436943054199219e+00,9.875246047973632812e+00,6.224186420440673828e-01,2.338294684886932373e-01,9.399550035595893860e-03,3.527552604675292969e+00,1.544033336639404297e+01
6.908100000000000000e+04,9.664087295532226562e+00,9.564978599548339844e+00,3.246596753597259521e-01,1.480526924133300781e-01,1.513799000531435013e-02,5.835700035095214844e+00,1.011426925659179688e+01
6.908600000000000000e+04,9.428286552429199219e+00,7.876214504241943359e+00,1.158655155450105667e-02,1.158655155450105667e-02,4.581265524029731750e-02,2.585218191146850586e+00,2.055260181427001953e+00
6.908700000000000000e+04,9.313080787658691406e+00,9.622058868408203125e+00,7.626225948333740234e-01,3.235081136226654053e-01,1.181602478027343750e-02,2.972222089767456055e+00,7.688293933868408203e+00
6.908900000000000000e+04,9.185773849487304688e+00,9.228378295898437500e+00,8.248592913150787354e-02,2.768879011273384094e-02,1.528178993612527847e-02,1.741277098655700684e+00,1.108237075805664062e+01
6.909300000000000000e+04,9.269670486450195312e+00,9.687042236328125000e+00,1.455445051193237305e+00,9.014014601707458496e-01,1.047481689602136612e-02,6.084481716156005859e+00,9.632807731628417969e+00
6.909900000000000000e+04,9.380329132080078125e+00,8.530771255493164062e+00,5.538041517138481140e-02,5.538041517138481140e-02,2.662248723208904266e-02,4.542627334594726562e+00,3.847038745880126953e+00
6.910200000000000000e+04,9.142302513122558594e+00,9.446801185607910156e+00,1.948938071727752686e-01,4.729549586772918701e-02,1.107059791684150696e-02,3.401665210723876953e+00,8.581752777099609375e+00
6.910400000000000000e+04,9.025955200195312500e+00,9.142504692077636719e+00,4.889416322112083435e-02,3.071449510753154755e-02,1.309820823371410370e-02,1.462153911590576172e+00,8.400469779968261719e+00
6.910500000000000000e+04,9.299435615539550781e+00,9.277200698852539062e+00,1.669101566076278687e-01,1.524866223335266113e-01,3.156618773937225342e-02,2.824380695819854736e-01,1.390195560455322266e+01
6.911100000000000000e+04,9.242076873779296875e+00,8.558260917663574219e+00,5.592979863286018372e-02,4.980456456542015076e-02,2.190333791077136993e-02,2.018348693847656250e+00,3.308145523071289062e+00
6.911200000000000000e+04,9.288131713867187500e+00,8.088178634643554688e+00,1.043377351015806198e-02,1.039792224764823914e-02,3.416814655065536499e-02,2.590528488159179688e+00,3.237160921096801758e+00
6.911300000000000000e+04,9.056178092956542969e+00,9.104597091674804688e+00,5.717876553535461426e-02,2.352923527359962463e-02,1.350806839764118195e-02,1.286629080772399902e+00,8.491821289062500000e+00
6.911400000000000000e+04,9.469265937805175781e+00,8.741735458374023438e+00,1.391582340002059937e-01,1.332452744245529175e-01,2.127474173903465271e-02,2.658257484436035156e+00,2.802815198898315430e+00
6.911500000000000000e+04,9.245740890502929688e+00,9.325702667236328125e+00,3.829101622104644775e-01,1.940891146659851074e-01,1.307154819369316101e-02,3.329587936401367188e+00,5.543957710266113281e+00
6.913000000000000000e+04,9.035809516906738281e+00,8.592540740966796875e+00,9.929466992616653442e-02,7.976435869932174683e-02,1.351585891097784042e-02,1.429877638816833496e+00,2.874919414520263672e+00
6.913400000000000000e+04,9.177447319030761719e+00,7.633388042449951172e+00,5.429698619991540909e-03,5.429698619991540909e-03,3.931450471282005310e-02,1.893023133277893066e+00,2.736387252807617188e+00
6.914900000000000000e+04,9.425223350524902344e+00,8.664750099182128906e+00,7.610841393470764160e-01,2.353979200124740601e-01,6.021807715296745300e-02,3.434586226940155029e-01,8.204950690269470215e-01
6.918100000000000000e+04,9.276571273803710938e+00,7.077588558197021484e+00,9.795517660677433014e-03,6.166140083223581314e-03,6.096943095326423645e-02,2.216197997331619263e-01,2.734518647193908691e-01
6.919400000000000000e+04,9.147546768188476562e+00,8.417620658874511719e+00,5.018762350082397461e-01,3.559345006942749023e-01,2.992920577526092529e-02,3.438137173652648926e-01,4.488929808139801025e-01
6.921000000000000000e+04,9.044236183166503906e+00,8.502429962158203125e+00,2.899950146675109863e-01,1.208920031785964966e-01,6.276115775108337402e-02,3.098202645778656006e-01,2.138660669326782227e+00
1.007460000000000000e+05,1.219845581054687500e+01,1.284994220733642578e+01,1.921114540100097656e+01,1.757923698425292969e+01,2.392049878835678101e-02,1.975618362426757812e+01,5.084067382812500000e+02
1.007470000000000000e+05,1.102431011199951172e+01,9.350786209106445312e+00,3.669249713420867920e-01,3.641192961367778480e-05,2.448394522070884705e-02,5.543350696563720703e+00,9.726938247680664062e+00
1.007480000000000000e+05,1.050183486938476562e+01,1.089420318603515625e+01,4.906468391418457031e+00,6.386834979057312012e-01,1.808462850749492645e-02,5.318544864654541016e+00,4.058790969848632812e+01
1.007510000000000000e+05,1.052387905120849609e+01,9.744106292724609375e+00,4.255257248878479004e-01,3.991781175136566162e-01,3.720399737358093262e-02,5.909092426300048828e+00,1.272434711456298828e+01
1.007520000000000000e+05,1.062669277191162109e+01,7.332158088684082031e+00,4.757129645440727472e-04,4.757129645440727472e-04,5.238259956240653992e-02,1.036418795585632324e+00,1.441302418708801270e+00
1.007560000000000000e+05,1.021443080902099609e+01,1.016962718963623047e+01,6.944754123687744141e+00,3.680660963058471680e+00,1.536356844007968903e-02,2.752045631408691406e+00,1.213639450073242188e+01
1.007580000000000000e+05,1.047144412994384766e+01,7.433194637298583984e+00,2.704420685768127441e-02,2.704420685768127441e-02,4.535132274031639099e-02,9.272642135620117188e-01,4.031711816787719727e-01
1.007590000000000000e+05,1.010007381439208984e+01,9.180381774902343750e+00,1.542669981718063354e-01,1.498615592718124390e-01,3.183075413107872009e-02,2.311595439910888672e+00,1.622982597351074219e+01
1.007600000000000000e+05,9.962781906127929688e+00,9.425847053527832031e+00,2.282055318355560303e-01,2.282055318355560303e-01,3.983626142144203186e-02,5.539454936981201172e+00,2.062864112854003906e+01
1.007610000000000000e+05,9.960580825805664062e+00,9.953609466552734375e+00,3.282492637634277344e+00,1.698965668678283691e+00,1.789052970707416534e-02,2.904531478881835938e+00,1.070618629455566406e+01
1.007630000000000000e+05,9.770732879638671875e+00,9.609502792358398438e+00,9.952085018157958984e-01,5.045446157455444336e-01,2.086695656180381775e-02,1.228700637817382812e+00,1.036394977569580078e+01
1.007670000000000000e+05,1.021996498107910156e+01,7.432889461517333984e+00,2.716774679720401764e-02,2.716774679720401764e-02,6.232614070177078247e-02,2.150667667388916016e+00,2.924608886241912842e-01
1.007680000000000000e+05,9.745861053466796875e+00,9.967370986938476562e+00,1.330851197242736816e+00,4.327076375484466553e-01,1.318486873060464859e-02,4.732377529144287109e+00,1.309475517272949219e+01
1.007690000000000000e+05,9.779710769653320312e+00,9.340130805969238281e+00,3.326054811477661133e-01,2.459786534309387207e-01,2.376534789800643921e-02,3.462537765502929688e+00,6.604501724243164062e+00
1.007720000000000000e+05,9.781060218811035156e+00,9.372472763061523438e+00,2.527035176753997803e-01,1.966265141963958740e-01,3.042090870440006256e-02,3.128679990768432617e+00,6.912830352783203125e+00
1.007730000000000000e+05,9.871568679809570312e+00,9.722422599792480469e+00,1.593187808990478516e+00,1.408381223678588867e+00,1.843862235546112061e-02,6.248488426208496094e+00,7.456490039825439453e+00
1.007740000000000000e+05,9.071706771850585938e+00,9.659714698791503906e+00,1.160230413079261780e-01,4.034849628806114197e-02,1.473891828209161758e-02,1.130852580070495605e+00,4.030267333984375000e+01
1.007750000000000000e+05,9.774483680725097656e+00,8.858359336853027344e+00,9.023738652467727661e-02,8.644866943359375000e-02,3.290104493498802185e-02,3.661027193069458008e+00,6.150856494903564453e+00
1.007760000000000000e+05,9.768596649169921875e+00,9.520347595214843750e+00,1.079746007919311523e+00,8.142964243888854980e-01,2.891994640231132507e-02,1.851240396499633789e+00,1.549040222167968750e+01
1.007770000000000000e+05,9.520747184753417969e+00,9.185801506042480469e+00,9.430038183927536011e-02,9.277393668889999390e-02,2.678754180669784546e-02,3.289494276046752930e+00,1.624104881286621094e+01
1.007790000000000000e+05,9.037009239196777344e+00,9.168536186218261719e+00,9.534823894500732422e-02,2.782929688692092896e-02,1.242338772863149643e-02,2.218323469161987305e+00,6.903240680694580078e+00
1.007800000000000000e+05,9.116332054138183594e+00,9.429946899414062500e+00,2.884095609188079834e-01,1.534218490123748779e-01,1.337602455168962479e-02,1.514787435531616211e+00,1.733859062194824219e+01
1.007820000000000000e+05,9.284916877746582031e+00,9.193032264709472656e+00,1.749068200588226318e-01,1.735388040542602539e-01,1.433191355317831039e-02,4.997236728668212891e+00,2.175595474243164062e+01
1.007860000000000000e+05,9.301390647888183594e+00,7.639838218688964844e+00,7.571339141577482224e-03,7.571339141577482224e-03,3.980046883225440979e-02,1.264286160469055176e+00,2.222877025604248047e+00
1.007870000000000000e+05,9.339097976684570312e+00,8.147478103637695312e+00,1.161244977265596390e-02,1.161244977265596390e-02,3.827091678977012634e-02,1.627009749412536621e+00,4.224090099334716797e+00
