gal_id,los,popt_2par,popt_4par,rmse_2par,rmse_4par,success_2par,success_4par
418505.0,19.0,[ 9.37091809 -0.60606371],[ 3.28275375e+02 -2.05988340e+00  1.90420876e+01  8.04875905e-02],0.5028367400269237,0.21022553856603113,True,True
418505.0,25.0,[2.5336018  0.05307853],[ 0.05214476  0.10679801 -1.97674454  0.02972268],0.07230987136855344,0.06911773417860322,True,True
418505.0,32.0,[ 6.32355925 -0.37204104],[1.07520697e+02 2.01244961e+00 1.41496270e+01 5.80097409e-02],0.22693850827509499,0.1447217386007606,True,True
712128.0,7.0,[ 4.74766948 -0.18988233],[4.37659094e+02 1.88856627e+00 2.00133876e+01 3.69921400e-02],0.18313644276967625,0.09184138821262333,True,True
712128.0,6.0,[ 7.12784891 -0.39280615],[3.15414146e+02 1.91405062e+00 1.74701609e+01 6.27280552e-02],0.315721223878653,0.1298795130188977,True,True
712128.0,17.0,[ 3.59197008 -0.03734145],[3.14195696e+02 9.39702183e+00 4.17990715e+02 4.48857788e-02],0.08613356749209046,0.08844973897321326,True,True
712128.0,26.0,[12.90371176 -0.95246648],[2.74516421e+02 1.93888168e+00 1.01727092e+01 1.35825217e-01],0.9265455171516878,0.3814237227141153,True,True
712128.0,45.0,[ 5.01099575 -0.29259536],[3.92044963e+02 1.83179826e+00 1.65963686e+01 4.31858925e-02],0.21740838087606335,0.11574390487839768,True,True
712128.0,0.0,[11.85530427 -0.76490572],[4.57419501e+02 1.99694604e+00 1.70051179e+01 1.09805123e-01],0.7779418232202303,0.25414257900547244,True,True
712128.0,8.0,[12.83370957 -0.86886809],[ 3.51936049e+02 -1.95313591e+00  1.30741162e+01  1.32843076e-01],0.8406510259800026,0.3100957062493214,True,True
712128.0,36.0,[13.60226769 -0.96256715],[2.60115502e+02 1.95747053e+00 1.00369823e+01 1.54416470e-01],0.9085210300286686,0.3784411833947839,True,True
456013.0,5.0,[ 4.46176423 -0.66034913],[ 7.9112242   1.25174824 -1.20594429  0.10961037],0.1229613478727808,0.05382402181412159,True,True
456013.0,40.0,[ 1.92906537 -0.69521113],[ 5.96318921  0.8306307  -1.53737858  0.06134874],0.2864444261361079,0.13860303596479193,True,True
456013.0,30.0,[ 1.5074777  -0.54940564],[ 0.61283413  0.34840306 -1.93592802  0.06458598],0.2105141296317655,0.0767100058719451,True,True
456013.0,13.0,[ 3.99213497 -0.59436118],[14.34571589  1.12033902 -0.63554513  0.07182202],0.25976695151637774,0.0852168060632211,True,True
456013.0,18.0,[ 3.6561875  -0.62712709],[12.32882146  1.03137663 -0.92413489  0.07310819],0.27313333916562405,0.09400765280601507,True,True
456013.0,43.0,[ 3.01598349 -0.89599589],[ 7.71689932 -1.0628173  -1.57160869  0.11325527],0.2954613528716113,0.18766752582695814,True,True
456013.0,2.0,[ 5.27767887 -0.72634148],[12.68336153 -1.68673575 -0.81159402  0.13430932],0.10696347428546901,0.06612736235001836,True,True
505673.0,21.0,[ 5.05004292 -0.38811149],[9.8058057  1.76792445 0.2809533  0.08156288],0.1518903395501036,0.14256739718262149,True,True
505673.0,11.0,[ 6.15677981 -0.46279471],[28.46921827 -1.84429049  3.26787559  0.08258454],0.1935453389952798,0.15834151361671184,True,True
505673.0,6.0,[ 8.47370517 -0.62911081],[ 1.12843311e+02 -1.88003593e+00  8.22260264e+00  9.60209663e-02],0.37741501971059044,0.20804237963114447,True,True
505673.0,48.0,[ 4.88160842 -0.18519322],[1.34927844e+02 1.77118932e+00 1.29848066e+01 4.53232004e-02],0.13839683479854112,0.08845290442226096,True,True
