galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
375836.000000	46.000000	0.025174	0.004989	0.012365	0.005767	0.017614	-0.006587	-0.000252	-0.001699	1.968030	1.878467	1.783507	1.701875	1.622793	1.545426	1.477422	1.419976	1.363656	1.319653	1.266101	1.231903	1.201765	1.190941	1.210730	1.270585	1.298137	1.280917	1.170524	1.098728	1.007001	0.765719	0.727436	0.599250	0.548114	0.493622	0.431803	0.395532	0.357692	0.387698	0.331498	0.310032	0.284507	0.253748	0.232390	0.220325	0.202068	0.187365	0.174227	0.163077	0.152681	0.143598	0.134354	0.126019	0.118417	0.110627	0.104487	0.098109	0.091199	0.086568	375836.000000	11.211061	11.364367	1.742726	0.000000	0.022194	12.463044	193.564514	8.448232	0.003571	0.155447
552137.000000	22.000000	-0.044873	0.007435	-0.002673	-0.000705	-0.001436	-0.000596	0.000958	-0.001292	1.854534	1.879300	1.798110	1.736819	1.587519	1.651536	1.636484	1.577785	1.549745	1.474740	1.455005	1.451270	1.431818	1.440951	1.463027	1.562776	1.658743	1.693101	1.584830	1.444735	1.345075	1.264254	1.209124	1.160225	1.129954	1.081635	1.028902	0.980362	0.934254	0.916414	0.870605	0.828179	0.787604	0.739123	0.699157	0.661540	0.624384	0.588949	0.557584	0.530364	0.501713	0.477284	0.458648	0.441082	0.425881	0.415133	0.404689	0.399723	0.384371	0.376416	552137.000000	10.020821	10.694097	2.503852	1.662675	0.014782	4.469952	48.413887	7.703896	0.039889	0.249865
501712.000000	47.000000	-0.049694	0.011141	-0.000369	-0.000251	-0.000804	-0.000228	0.001066	-0.001258	1.082021	1.172525	1.114034	1.086572	0.981708	1.051044	1.079856	1.038017	1.034657	0.989222	0.979662	0.994413	0.991538	0.998019	1.012725	1.073273	1.119503	1.143609	1.076710	1.000514	0.953288	0.906854	0.869991	0.833116	0.808509	0.780808	0.733654	0.700089	0.666961	0.661352	0.628766	0.602027	0.574758	0.541734	0.510152	0.483295	0.464208	0.440289	0.420515	0.403426	0.381436	0.366454	0.355879	0.341186	0.330076	0.320425	0.314787	0.312209	0.302073	0.298277	501712.000000	10.358641	10.975860	1.876083	1.077023	0.026317	4.125822	134.853302	7.649741	0.035082	0.181113
469339.000000	44.000000	-0.040036	0.026150	0.002398	-0.005543	-0.000040	-0.001588	0.000940	-0.001374	1.886702	2.009056	1.950976	1.933063	1.808758	1.906887	1.944828	1.895332	1.892178	1.840197	1.832124	1.856212	1.857226	1.857189	1.858484	1.924473	1.931053	1.941953	1.879097	1.832458	1.791638	1.645438	1.608261	1.481441	1.411672	1.338494	1.226195	1.153690	1.065537	1.099201	0.969714	0.925111	0.866862	0.786585	0.734537	0.698767	0.658810	0.620145	0.587771	0.562223	0.529773	0.508087	0.489301	0.470638	0.453223	0.441144	0.431020	0.430993	0.411671	0.407940	469339.000000	10.453854	11.144573	3.566060	3.051489	0.033218	4.550184	127.954689	7.798543	0.054825	0.341124
550125.000000	18.000000	0.081422	0.007059	0.000264	-0.039187	0.009819	-0.011899	-0.001764	-0.002071	2.559034	2.467702	2.299853	2.170250	2.324900	2.000007	1.831343	1.725299	1.644328	1.559102	1.489316	1.462174	1.410145	1.378349	1.373382	1.430953	1.470300	1.471120	1.363401	1.275092	1.151992	0.946482	0.901048	0.776072	0.704978	0.636102	0.552619	0.495045	0.433908	0.426831	0.338993	0.308939	0.277016	0.238039	0.211707	0.192225	0.171634	0.154047	0.138686	0.125589	0.114196	0.103968	0.096139	0.090121	0.084960	0.081492	0.078461	0.076860	0.072167	0.069901	550125.000000	10.019257	10.711233	0.627565	0.528228	0.018378	3.687101	46.608398	7.580113	0.014694	0.062636
657498.000000	34.000000	-0.025806	0.016319	0.007152	0.005355	-0.001026	-0.003524	0.000783	-0.001453	1.464172	1.527211	1.451729	1.400757	1.232417	1.360557	1.351508	1.296349	1.275746	1.200658	1.186518	1.194785	1.162424	1.165037	1.156497	1.228179	1.261669	1.271319	1.187280	1.106683	1.039694	0.888402	0.845164	0.759513	0.714173	0.665241	0.606389	0.564190	0.524781	0.529805	0.485859	0.461987	0.433089	0.401967	0.374593	0.352602	0.332808	0.314063	0.297934	0.283339	0.266677	0.252909	0.244101	0.231722	0.222827	0.215824	0.209942	0.207127	0.197062	0.194425	657498.000000	9.444367	10.022622	0.130796	0.114488	0.024249	1.713985	70.796104	6.409004	0.014172	0.013849
545565.000000	22.000000	-0.036126	-0.000984	0.001024	-0.003070	0.001189	-0.001103	0.000687	-0.001269	2.039942	2.005046	1.893899	1.823233	1.747684	1.688894	1.629432	1.556478	1.511254	1.448525	1.411552	1.398444	1.378475	1.369457	1.384818	1.454707	1.510296	1.520480	1.423860	1.314494	1.227838	1.115380	1.064075	0.998054	0.949430	0.902477	0.847642	0.799417	0.755127	0.722661	0.679058	0.648986	0.619930	0.586945	0.558360	0.526911	0.502272	0.477174	0.453448	0.431360	0.407110	0.386220	0.368989	0.350740	0.333055	0.318922	0.307168	0.296576	0.282061	0.270494	545565.000000	10.034492	10.727990	0.864234	0.493521	0.012593	8.885175	44.072701	7.816961	0.003485	0.086126
482587.000000	27.000000	-0.036651	0.005191	0.002580	-0.007315	-0.000784	-0.001441	0.000689	-0.001277	2.891170	2.883476	2.758165	2.659506	2.598715	2.523367	2.432627	2.339928	2.281374	2.192438	2.152903	2.150309	2.111582	2.095025	2.099624	2.170969	2.217926	2.242690	2.140270	2.034127	1.924266	1.753435	1.706714	1.591338	1.518115	1.445056	1.343866	1.269022	1.184364	1.179318	1.050838	1.006176	0.952166	0.886058	0.838259	0.797115	0.756673	0.718842	0.684882	0.655851	0.623481	0.598324	0.577072	0.556864	0.538074	0.521562	0.506895	0.497414	0.478465	0.470728	482587.000000	10.411138	11.044152	4.454130	3.571487	0.017767	2.291936	125.998970	7.401965	0.269903	0.427824
547644.000000	12.000000	-0.009623	-0.000281	0.010094	-0.005590	0.004099	-0.004020	0.000182	-0.001402	3.441326	3.345705	3.167713	3.051452	3.020659	2.796161	2.692361	2.573292	2.492343	2.423108	2.317165	2.270426	2.209367	2.169912	2.190390	2.275897	2.316386	2.304718	2.145957	2.030160	1.873669	1.580875	1.509680	1.339595	1.243059	1.152314	1.043027	0.965308	0.883986	0.865981	0.772854	0.728523	0.684649	0.631923	0.593995	0.557204	0.528071	0.497946	0.474655	0.452065	0.427400	0.408441	0.393173	0.376799	0.362148	0.353961	0.345695	0.345302	0.334304	0.329104	547644.000000	10.253306	10.538074	0.895042	0.420896	0.026864	4.290733	78.454628	7.619543	0.015475	0.087293
427942.000000	16.000000	-0.052473	-0.013009	-0.025952	-0.008063	-0.002386	0.002155	0.000986	-0.001222	0.052895	0.049102	0.044186	0.041028	0.040211	0.035664	0.033172	0.030833	0.029257	0.027959	0.026515	0.025811	0.025259	0.025305	0.026574	0.029786	0.036860	0.038609	0.036027	0.029094	0.025116	0.030421	0.027806	0.029276	0.028374	0.027905	0.027150	0.025821	0.025024	0.021896	0.022878	0.021745	0.020887	0.020130	0.019193	0.017989	0.017156	0.016218	0.015342	0.014530	0.013616	0.012846	0.012122	0.011375	0.010685	0.010065	0.009512	0.009003	0.008499	0.008011	427942.000000	10.700891	11.049339	0.001021	0.000000	0.010840	2.769044	216.244888	6.153702	0.000042	0.000095
