galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
142220.000000	1.000000	-0.145957	-0.002210	-0.001980	0.000049	0.000167	-0.000443	0.004155	-0.004165	6.559113	6.470418	6.294664	6.147890	6.299253	5.951505	5.774045	5.606558	5.507880	5.346752	5.144679	4.997300	4.713272	4.479915	4.267482	4.106548	3.901445	3.789721	3.699554	3.728847	3.642284	3.303530	3.273804	3.039971	2.912202	2.810189	2.664565	2.567409	2.458835	2.464301	2.301782	2.236346	2.173360	2.081760	2.030888	1.988627	1.938874	1.896017	1.856894	1.827870	1.777527	1.747177	1.714632	1.685690	1.654471	1.627144	1.606059	1.592680	1.560023	1.542621	142220.000000	9.398677	8.193797	0.614589	0.291387	0.059679	0.169960	0.280341	6.325538	6.772394	0.065391
61704.000000	17.000000	-0.061871	-0.007041	0.000368	0.000217	-0.000102	0.000728	0.003228	-0.002143	4.203591	4.060475	3.872994	3.722518	3.506664	3.489595	3.417493	3.298667	3.154206	2.917941	2.691957	2.447519	2.186766	1.974992	1.771446	1.630270	1.488742	1.391619	1.302629	1.245534	1.208780	1.084642	1.044808	0.959756	0.914397	0.861723	0.800333	0.757927	0.718990	0.738561	0.697151	0.669111	0.638206	0.605217	0.578582	0.552052	0.533345	0.512667	0.495327	0.478955	0.457348	0.441953	0.427645	0.409372	0.393294	0.378344	0.366216	0.357264	0.346317	0.335505	61704.000000	10.452973	10.423412	1.190193	1.028686	0.026520	3.407996	31.788967	7.723709	0.032619	0.113862
178655.000000	10.000000	-0.128264	-0.000988	-0.000927	-0.000989	0.000166	-0.000749	0.004986	-0.002584	2.325627	2.360610	2.293140	2.255717	2.178101	2.189436	2.167172	2.096424	2.040004	1.935707	1.837770	1.745419	1.627663	1.514286	1.409336	1.329892	1.253544	1.203257	1.146367	1.098505	1.061371	1.012764	0.980605	0.942909	0.909615	0.880113	0.845253	0.811553	0.781922	0.745779	0.708107	0.686188	0.662605	0.639836	0.621447	0.596947	0.576018	0.558873	0.538475	0.519673	0.498098	0.479605	0.464257	0.446648	0.428197	0.412571	0.398568	0.387885	0.373063	0.357474	178655.000000	10.167931	10.198555	4.301748	1.370320	0.024083	2.747224	10.188684	7.690374	0.181429	0.423070
516549.000000	4.000000	-0.029330	0.005941	0.001434	0.000100	0.000795	0.000400	0.000929	0.000842	3.114115	3.012329	2.865346	2.757350	2.685581	2.555269	2.460302	2.350282	2.230215	2.082967	1.908840	1.753591	1.593398	1.441062	1.315436	1.215052	1.124824	1.057195	0.994538	0.947633	0.906282	0.834855	0.802532	0.742013	0.702428	0.661184	0.614474	0.577292	0.537562	0.528546	0.473703	0.449367	0.424647	0.391110	0.366796	0.350881	0.329385	0.314396	0.296053	0.283256	0.269158	0.255654	0.244956	0.233226	0.222640	0.213301	0.204278	0.199316	0.189039	0.182967	516549.000000	10.151765	10.794589	2.451874	1.381288	0.016989	5.810249	97.464882	7.713199	0.023118	0.241522
571273.000000	34.000000	-0.017919	-0.034404	-0.000274	0.000067	0.001114	0.000231	0.001684	-0.001719	3.590169	3.443339	3.258560	3.096785	2.880532	2.874430	2.762538	2.627551	2.472730	2.203260	1.995235	1.773773	1.521101	1.328792	1.129399	1.009932	0.906859	0.840226	0.778964	0.729137	0.700952	0.665209	0.638344	0.610208	0.586005	0.559624	0.527855	0.501943	0.474867	0.487513	0.451731	0.431579	0.409682	0.384005	0.367022	0.351158	0.337292	0.322558	0.309262	0.296778	0.284410	0.272495	0.262441	0.251361	0.240053	0.231070	0.222586	0.215327	0.205525	0.198503	571273.000000	10.033562	10.248345	0.297860	0.249094	0.027584	1.997822	50.096954	7.212526	0.023755	0.029686
620125.000000	14.000000	-0.147332	-0.026022	-0.011460	-0.000830	0.000695	-0.006998	-0.001206	0.003603	1.318233	1.299619	1.237812	1.197577	1.125029	1.126900	1.111739	1.067067	1.023973	0.949536	0.879973	0.808339	0.733456	0.672686	0.612757	0.576475	0.541925	0.517958	0.489574	0.460317	0.447241	0.448724	0.434069	0.435511	0.431890	0.427376	0.428115	0.419813	0.420219	0.390579	0.407062	0.399141	0.395783	0.399499	0.395728	0.380691	0.377904	0.370301	0.361212	0.352895	0.340501	0.329441	0.322434	0.310872	0.298397	0.289716	0.281183	0.273971	0.265977	0.254754	620125.000000	9.815999	10.401109	0.837083	0.155890	0.025927	1.423677	72.088554	7.072000	0.131461	0.085277
361223.000000	29.000000	0.064111	-0.012993	0.000516	-0.000381	0.002036	0.001652	0.000545	-0.000368	1.739521	1.681862	1.593471	1.523526	1.446207	1.407007	1.357184	1.288892	1.214572	1.109373	0.997936	0.887630	0.777934	0.679775	0.596004	0.536777	0.484339	0.448122	0.411443	0.387407	0.365314	0.327158	0.312062	0.284415	0.264137	0.247656	0.227199	0.210755	0.197730	0.183191	0.168065	0.156882	0.147976	0.139595	0.132052	0.124263	0.120168	0.114253	0.108159	0.104333	0.098670	0.093813	0.090559	0.087558	0.082975	0.080824	0.078392	0.077166	0.074135	0.071277	361223.000000	10.247256	10.447006	1.993521	0.878133	0.018548	10.436831	25.547333	8.220451	0.005826	0.194542
353812.000000	39.000000	0.133648	0.144739	0.002509	0.000857	0.003653	0.000665	-0.005924	0.002138	2.271015	2.347742	2.258602	2.201278	2.092429	2.146801	2.108630	2.020994	1.956912	1.835813	1.742387	1.682806	1.558839	1.443882	1.326616	1.258933	1.159481	1.112008	1.061898	1.067000	1.026115	0.854002	0.839746	0.710356	0.636120	0.577719	0.494962	0.443847	0.383538	0.393172	0.293163	0.267646	0.241406	0.204285	0.185530	0.174130	0.158256	0.144842	0.133652	0.124876	0.116585	0.108673	0.104911	0.099680	0.094484	0.093136	0.091448	0.094383	0.087408	0.088474	353812.000000	10.422770	10.677341	2.274009	1.966247	0.024347	4.359012	66.608154	7.711228	0.038095	0.218177
569973.000000	35.000000	0.256118	0.052093	0.006159	0.001399	-0.001460	0.001382	-0.002423	0.004245	1.917471	1.896908	1.810601	1.763107	1.815440	1.670529	1.623742	1.557924	1.485099	1.411394	1.288285	1.182740	1.063670	0.931995	0.814537	0.720419	0.628870	0.572527	0.519932	0.499054	0.464530	0.395025	0.379746	0.330943	0.298960	0.273923	0.239670	0.218731	0.193000	0.189708	0.148394	0.137574	0.126102	0.111103	0.102331	0.096019	0.089505	0.081838	0.076679	0.072612	0.067616	0.063961	0.060157	0.057021	0.054082	0.051501	0.048989	0.047534	0.045163	0.043722	569973.000000	10.037834	10.442801	0.483929	0.333924	0.021672	2.215828	90.174026	7.041112	0.031373	0.048211
358634.000000	42.000000	0.116748	-0.123815	-0.000003	0.002413	-0.002395	0.000568	0.001006	-0.001700	0.953328	0.918282	0.862532	0.821786	0.763276	0.750013	0.724272	0.684515	0.638438	0.565144	0.488137	0.405973	0.322622	0.253680	0.191418	0.144237	0.112170	0.090713	0.071539	0.055697	0.049268	0.051114	0.046092	0.047666	0.049001	0.048736	0.050207	0.049744	0.051223	0.044260	0.051903	0.049445	0.050242	0.052086	0.052544	0.050222	0.049199	0.048950	0.049387	0.047991	0.046421	0.044876	0.044546	0.043463	0.042842	0.041756	0.041390	0.040975	0.041494	0.040556	358634.000000	10.493429	11.202185	4.895942	0.575460	0.019039	9.704291	90.218025	8.179282	0.016549	0.466572
