# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
6.600000000000000000e+01,1.012715530395507812e+01,8.790231704711914062e+00,9.629159420728683472e-02,9.579535573720932007e-02,3.114804252982139587e-02,3.851476192474365234e+00,6.027956485748291016e+00
6.800000000000000000e+01,9.530686378479003906e+00,9.568859100341796875e+00,2.116606533527374268e-01,8.438523113727569580e-02,1.336863730102777481e-02,4.059205055236816406e+00,9.747715950012207031e+00
7.000000000000000000e+01,9.388018608093261719e+00,9.628193855285644531e+00,2.149661928415298462e-01,1.967590600252151489e-01,1.069962326437234879e-02,5.726322174072265625e+00,8.511749267578125000e+00
7.200000000000000000e+01,9.424461364746093750e+00,1.006524467468261719e+01,1.285978794097900391e+00,7.978665828704833984e-01,9.692861698567867279e-03,4.367978096008300781e+00,1.605332374572753906e+01
7.400000000000000000e+01,9.784877777099609375e+00,9.791373252868652344e+00,1.443531632423400879e+00,1.075734138488769531e+00,1.557346247136592865e-02,5.055623531341552734e+00,8.060427665710449219e+00
7.800000000000000000e+01,9.884154319763183594e+00,8.706157684326171875e+00,4.647366330027580261e-02,4.647366330027580261e-02,4.377580434083938599e-02,3.017590522766113281e+00,3.691420793533325195e+00
8.100000000000000000e+01,9.065428733825683594e+00,9.671226501464843750e+00,1.172157675027847290e-01,7.784701138734817505e-02,1.014747563749551773e-02,2.252403974533081055e+00,1.554641437530517578e+01
8.200000000000000000e+01,9.342016220092773438e+00,9.369276046752929688e+00,1.418065130710601807e-01,1.115506291389465332e-01,1.006841566413640976e-02,3.373941183090209961e+00,6.038374900817871094e+00
8.500000000000000000e+01,9.973340034484863281e+00,9.697574615478515625e+00,5.720165967941284180e-01,5.028125047683715820e-01,2.611950971186161041e-02,2.698956489562988281e+00,2.029265594482421875e+01
8.600000000000000000e+01,9.336239814758300781e+00,9.027586936950683594e+00,1.295892596244812012e-01,1.277855187654495239e-01,1.363102253526449203e-02,3.712011814117431641e+00,4.878500938415527344e+00
8.800000000000000000e+01,9.443778038024902344e+00,9.651081085205078125e+00,3.089821338653564453e-01,2.267620116472244263e-01,1.294775027781724930e-02,5.521129608154296875e+00,7.583147048950195312e+00
9.500000000000000000e+01,9.340636253356933594e+00,9.049880027770996094e+00,7.181943953037261963e-02,7.181943953037261963e-02,1.598336547613143921e-02,3.008189678192138672e+00,5.413674831390380859e+00
9.700000000000000000e+01,9.212177276611328125e+00,8.505931854248046875e+00,1.342243235558271408e-02,1.342243235558271408e-02,2.232914045453071594e-02,2.416509389877319336e+00,1.343959808349609375e+01
1.000000000000000000e+02,1.000528621673583984e+01,9.528892517089843750e+00,2.282203674316406250e+01,5.305888652801513672e+00,4.784225299954414368e-02,3.158674240112304688e-01,5.756630301475524902e-01
1.040000000000000000e+02,9.626111984252929688e+00,8.806620597839355469e+00,4.070759192109107971e-02,4.070759192109107971e-02,2.588108181953430176e-02,3.402245044708251953e+00,1.667217636108398438e+01
1.060000000000000000e+02,9.213500976562500000e+00,9.212188720703125000e+00,5.529385805130004883e-02,5.529385805130004883e-02,1.486420072615146637e-02,4.096374988555908203e+00,8.398115158081054688e+00
1.120000000000000000e+02,9.064128875732421875e+00,8.910563468933105469e+00,2.610250562429428101e-02,2.610250562429428101e-02,1.418474130332469940e-02,3.653299570083618164e+00,5.964511394500732422e+00
1.160000000000000000e+02,9.063084602355957031e+00,9.114219665527343750e+00,3.527225852012634277e-01,2.222698479890823364e-01,1.032097171992063522e-02,2.244954347610473633e+00,3.286718845367431641e+00
1.210000000000000000e+02,9.135063171386718750e+00,9.582151412963867188e+00,4.309386909008026123e-01,2.717438340187072754e-01,8.646639063954353333e-03,3.208597898483276367e+00,9.173184394836425781e+00
1.310000000000000000e+02,9.424124717712402344e+00,8.708686828613281250e+00,1.220757514238357544e-01,9.145196527242660522e-02,2.054706588387489319e-02,2.703116655349731445e+00,4.996664524078369141e+00
1.320000000000000000e+02,9.287564277648925781e+00,8.603158950805664062e+00,1.637922227382659912e-02,1.637922227382659912e-02,1.755668222904205322e-02,5.337171554565429688e+00,1.378862762451171875e+01
1.330000000000000000e+02,9.193647384643554688e+00,8.808006286621093750e+00,2.405413426458835602e-02,2.405413426458835602e-02,1.811365783214569092e-02,3.250148534774780273e+00,5.793380260467529297e+00
1.620000000000000000e+02,9.713997840881347656e+00,9.197498321533203125e+00,1.280691146850585938e+01,7.922585487365722656e+00,4.701144620776176453e-02,2.776232063770294189e-01,3.408425450325012207e-01
2.990000000000000000e+02,9.346035003662109375e+00,8.980812072753906250e+00,2.394233942031860352e+00,7.224209308624267578e-01,4.644089192152023315e-02,3.436126708984375000e-01,5.944998264312744141e-01
1.329600000000000000e+04,1.254300022125244141e+01,1.368933773040771484e+01,1.127621412277221680e+00,0.000000000000000000e+00,7.342571858316659927e-03,6.553819274902343750e+01,9.439667968750000000e+02
1.329700000000000000e+04,1.178561401367187500e+01,1.237646484375000000e+01,8.212377548217773438e+00,2.192198514938354492e+00,1.117687392979860306e-02,3.589247131347656250e+01,3.647359313964843750e+02
1.329800000000000000e+04,1.128345584869384766e+01,1.115064430236816406e+01,1.432914257049560547e+00,0.000000000000000000e+00,1.677110046148300171e-02,1.324569320678710938e+01,1.716282501220703125e+02
1.329900000000000000e+04,1.146786499023437500e+01,1.055583381652832031e+01,6.055602431297302246e-01,2.079702764749526978e-01,2.505165524780750275e-02,1.427588272094726562e+01,2.671585655212402344e+01
1.330000000000000000e+04,1.137597370147705078e+01,1.000256156921386719e+01,1.570217013359069824e-01,0.000000000000000000e+00,2.467576600611209869e-02,1.242214012145996094e+01,1.432476043701171875e+02
1.330200000000000000e+04,1.134864807128906250e+01,1.077373600006103516e+01,4.340663909912109375e+00,2.036814838647842407e-01,1.459198165684938431e-02,1.289774417877197266e+01,4.179028701782226562e+01
1.330700000000000000e+04,1.122302150726318359e+01,9.746267318725585938e+00,2.692752145230770111e-02,0.000000000000000000e+00,1.609463430941104889e-02,7.257244586944580078e+00,4.854339599609375000e+01
1.331000000000000000e+04,1.093946456909179688e+01,9.946645736694335938e+00,7.237365841865539551e-01,1.223574485629796982e-02,2.026349864900112152e-02,1.082198810577392578e+01,1.737612533569335938e+01
1.331300000000000000e+04,1.068294715881347656e+01,9.608268737792968750e+00,8.611808530986309052e-03,0.000000000000000000e+00,9.140508249402046204e-03,2.577669382095336914e+00,9.069409179687500000e+01
1.331400000000000000e+04,1.068777084350585938e+01,1.014800930023193359e+01,2.737707376480102539e+00,2.490248203277587891e+00,3.024962358176708221e-02,5.966682910919189453e+00,1.722326469421386719e+01
1.331700000000000000e+04,1.061555957794189453e+01,9.833253860473632812e+00,1.091324165463447571e-02,0.000000000000000000e+00,1.311704237014055252e-02,6.232001304626464844e+00,5.804578781127929688e+01
1.332300000000000000e+04,1.056521892547607422e+01,1.057758426666259766e+01,9.127026557922363281e+00,2.475533723831176758e+00,1.711105927824974060e-02,5.576784133911132812e+00,1.394942283630371094e+01
1.332400000000000000e+04,1.043558406829833984e+01,9.237397193908691406e+00,3.808252811431884766e-01,3.808252811431884766e-01,4.253023490309715271e-02,3.245446681976318359e+00,7.666949748992919922e+00
1.332700000000000000e+04,1.043929004669189453e+01,1.007918548583984375e+01,1.938132405281066895e+00,8.353864550590515137e-01,2.806400880217552185e-02,4.302467823028564453e+00,1.184499263763427734e+01
1.332800000000000000e+04,1.033428764343261719e+01,9.362316131591796875e+00,1.565686911344528198e-01,1.565686911344528198e-01,4.174719005823135376e-02,8.144151687622070312e+00,9.944518089294433594e+00
1.333000000000000000e+04,1.042824935913085938e+01,9.776980400085449219e+00,6.580038070678710938e-01,3.102716207504272461e-01,4.084962606430053711e-02,4.066495895385742188e+00,1.047898483276367188e+01
1.333100000000000000e+04,9.984820365905761719e+00,1.050350856781005859e+01,1.336369276046752930e+00,1.257321476936340332e+00,2.318052574992179871e-02,3.803021430969238281e+00,5.318376159667968750e+01
1.333500000000000000e+04,1.029162502288818359e+01,9.123707771301269531e+00,1.380111575126647949e-01,1.380111575126647949e-01,3.206261247396469116e-02,4.209507942199707031e+00,1.194941139221191406e+01
1.333600000000000000e+04,1.028845691680908203e+01,9.092844009399414062e+00,1.455288082361221313e-01,1.455288082361221313e-01,4.563109576702117920e-02,4.024724960327148438e+00,9.028653144836425781e+00
1.334200000000000000e+04,1.014387989044189453e+01,8.793827056884765625e+00,1.188423037528991699e-01,1.188423037528991699e-01,4.058745503425598145e-02,8.240432739257812500e+00,4.258302211761474609e+00
1.334300000000000000e+04,1.024562168121337891e+01,1.043588733673095703e+01,1.408676266670227051e+00,9.675394892692565918e-01,1.873330026865005493e-02,4.909676551818847656e+00,1.855613517761230469e+01
1.334400000000000000e+04,1.024064064025878906e+01,1.046142482757568359e+01,4.757466793060302734e+00,2.058275699615478516e+00,1.716030947864055634e-02,3.437755107879638672e+00,1.564844512939453125e+01
1.335200000000000000e+04,1.026602268218994141e+01,8.964076042175292969e+00,7.873284071683883667e-02,7.873284071683883667e-02,4.990353062748908997e-02,6.043250083923339844e+00,5.879111766815185547e+00
1.335500000000000000e+04,1.002567577362060547e+01,9.397572517395019531e+00,2.751494348049163818e-01,2.751494348049163818e-01,3.322206810116767883e-02,4.811644077301025391e+00,9.798825263977050781e+00
1.335600000000000000e+04,1.004882335662841797e+01,9.087639808654785156e+00,3.218914866447448730e-01,3.180157542228698730e-01,4.114887490868568420e-02,2.352670669555664062e+00,5.659421920776367188e+00
1.335900000000000000e+04,1.022369194030761719e+01,9.486522674560546875e+00,1.665496230125427246e+00,9.130056500434875488e-01,1.403365749865770340e-02,1.866411209106445312e+00,3.013512611389160156e+00
1.336000000000000000e+04,1.014626026153564453e+01,9.740407943725585938e+00,9.356689453125000000e-01,8.833546638488769531e-01,2.392419055104255676e-02,6.013047695159912109e+00,8.295427322387695312e+00
1.336200000000000000e+04,1.009130954742431641e+01,9.364546775817871094e+00,3.924727439880371094e-01,3.556190729141235352e-01,2.703798189759254456e-02,2.792411565780639648e+00,5.157180309295654297e+00
1.336600000000000000e+04,9.932899475097656250e+00,8.849295616149902344e+00,2.085338532924652100e-01,2.085338532924652100e-01,3.271990641951560974e-02,3.350406408309936523e+00,3.788970947265625000e+00
1.336900000000000000e+04,1.000381088256835938e+01,1.016266727447509766e+01,7.862030267715454102e-01,3.700139224529266357e-01,1.786615699529647827e-02,3.768362283706665039e+00,2.246468162536621094e+01
1.337000000000000000e+04,1.005046081542968750e+01,9.780797958374023438e+00,1.204974293708801270e+00,1.098110675811767578e+00,2.084913104772567749e-02,4.086370468139648438e+00,7.667645931243896484e+00
1.337300000000000000e+04,9.498938560485839844e+00,9.631042480468750000e+00,2.907513082027435303e-01,2.547667324542999268e-01,1.493027992546558380e-02,3.737949371337890625e+00,1.693369674682617188e+01
1.337600000000000000e+04,1.014439964294433594e+01,9.153938293457031250e+00,1.213173046708106995e-01,1.213173046708106995e-01,4.121539741754531860e-02,5.836099147796630859e+00,9.933147430419921875e+00
1.337800000000000000e+04,9.763719558715820312e+00,1.007437896728515625e+01,4.043314754962921143e-01,3.456824421882629395e-01,2.348636277019977570e-02,2.500293254852294922e+00,2.001073646545410156e+01
1.338000000000000000e+04,1.025786590576171875e+01,9.138776779174804688e+00,1.444173902273178101e-01,1.418536305427551270e-01,2.885392680764198303e-02,3.502735376358032227e+00,6.087333679199218750e+00
1.338300000000000000e+04,9.885447502136230469e+00,9.256394386291503906e+00,3.696508407592773438e-01,3.696508407592773438e-01,2.199820615351200104e-02,4.290322303771972656e+00,3.757665872573852539e+00
1.338500000000000000e+04,9.285805702209472656e+00,9.779037475585937500e+00,5.686540007591247559e-01,5.661038756370544434e-01,1.179315522313117981e-02,2.045140743255615234e+00,1.625533866882324219e+01
1.338700000000000000e+04,1.017198753356933594e+01,8.709406852722167969e+00,9.091823548078536987e-02,9.091823548078536987e-02,5.742852017283439636e-02,4.163652420043945312e+00,2.648344278335571289e+00
1.339000000000000000e+04,9.986001968383789062e+00,8.477363586425781250e+00,3.151893243193626404e-02,3.151893243193626404e-02,4.761719331145286560e-02,4.697851181030273438e+00,2.876294851303100586e+00
1.339100000000000000e+04,9.293885231018066406e+00,1.011471557617187500e+01,3.043001890182495117e-01,2.307577580213546753e-01,1.719625853002071381e-02,6.624690890312194824e-01,2.918630599975585938e+01
1.339200000000000000e+04,9.929277420043945312e+00,8.763673782348632812e+00,1.532478332519531250e-01,1.532478332519531250e-01,2.751625701785087585e-02,4.941315174102783203e+00,2.294083118438720703e+00
1.339300000000000000e+04,9.492482185363769531e+00,9.765398025512695312e+00,7.971112728118896484e-01,3.865736424922943115e-01,1.197141781449317932e-02,3.722307443618774414e+00,9.998622894287109375e+00
1.339500000000000000e+04,9.574234962463378906e+00,9.176609992980957031e+00,6.323351059108972549e-03,6.323351059108972549e-03,2.662224695086479187e-02,4.173824787139892578e+00,1.327921676635742188e+01
1.339900000000000000e+04,9.289627075195312500e+00,9.868021011352539062e+00,1.493021547794342041e-01,1.276239901781082153e-01,1.671382412314414978e-02,8.716755509376525879e-01,3.134321403503417969e+01
1.340100000000000000e+04,9.525025367736816406e+00,8.910531997680664062e+00,7.002828270196914673e-02,7.002828270196914673e-02,2.549168094992637634e-02,2.726083040237426758e+00,6.137078762054443359e+00
1.340400000000000000e+04,9.093438148498535156e+00,9.942102432250976562e+00,1.859767436981201172e-01,1.561645716428756714e-01,7.917904295027256012e-03,2.842069625854492188e+00,1.297156906127929688e+01
1.340900000000000000e+04,9.808400154113769531e+00,8.985482215881347656e+00,9.222497045993804932e-02,9.222497045993804932e-02,2.959716692566871643e-02,3.297703027725219727e+00,5.880151271820068359e+00
1.341000000000000000e+04,9.008384704589843750e+00,9.639842033386230469e+00,2.895815968513488770e-01,1.223833337426185608e-01,7.608246523886919022e-03,2.208510398864746094e+00,9.835036277770996094e+00
